name,module,path,description
code-review,workflows,bmm/workflows/4-implementation/code-review/workflow.yaml,Perform an ADVERSARIAL Senior Developer code review that finds 3-10 specific problems in every story. Challenges everything: code quality  test coverage  architecture compliance  security  performance. NEVER accepts `looks good` - must find minimum issues and can auto-fix with user approval.
correct-course,workflows,bmm/workflows/4-implementation/correct-course/workflow.yaml,Navigate significant changes during sprint execution by analyzing impact  proposing solutions  and routing for implementation
create-story,workflows,bmm/workflows/4-implementation/create-story/workflow.yaml,Create the next user story from epics+stories with enhanced context analysis and direct ready-for-dev marking
dev-story,workflows,bmm/workflows/4-implementation/dev-story/workflow.yaml,Execute a story by implementing tasks/subtasks  writing tests  validating  and updating the story file per acceptance criteria
retrospective,workflows,bmm/workflows/4-implementation/retrospective/workflow.yaml,Run after epic completion to review overall success  extract lessons learned  and explore if new information emerged that might impact the next epic
sprint-planning,workflows,bmm/workflows/4-implementation/sprint-planning/workflow.yaml,Generate and manage the sprint status tracking file for Phase 4 implementation  extracting all epics and stories from epic files and tracking their status through the development lifecycle
sprint-status,workflows,bmm/workflows/4-implementation/sprint-status/workflow.yaml,Summarize sprint-status.yaml  surface risks  and route to the right implementation workflow.
create-tech-spec,workflows,bmm/workflows/aegis-quick-flow/create-tech-spec/workflow.yaml,Conversational spec engineering - ask questions  investigate code  produce implementation-ready tech-spec.
quick-dev,workflows,bmm/workflows/aegis-quick-flow/quick-dev/workflow.yaml,Flexible development - execute tech-specs OR direct instructions with optional planning.
create-excalidraw-dataflow,workflows,bmm/workflows/diagrams/create-dataflow/workflow.yaml,Create data flow diagrams (DFD) in Excalidraw format
create-excalidraw-diagram,workflows,bmm/workflows/diagrams/create-diagram/workflow.yaml,Create system architecture diagrams  ERDs  UML diagrams  or general technical diagrams in Excalidraw format
create-excalidraw-flowchart,workflows,bmm/workflows/diagrams/create-flowchart/workflow.yaml,Create a flowchart visualization in Excalidraw format for processes  pipelines  or logic flows
create-excalidraw-wireframe,workflows,bmm/workflows/diagrams/create-wireframe/workflow.yaml,Create website or app wireframes in Excalidraw format
document-project,workflows,bmm/workflows/document-project/workflow.yaml,Analyzes and documents brownfield projects by scanning codebase  architecture  and patterns to create comprehensive reference documentation for AI-assisted development
generate-project-context,workflows,bmm/workflows/generate-project-context/workflow.md,Creates a concise project_context.md file with critical rules and patterns that AI agents must follow when implementing code. Optimized for LLM context efficiency.
testarch-atdd,workflows,bmm/workflows/testarch/atdd/workflow.yaml,Generate failing acceptance tests before implementation using TDD red-green-refactor cycle
testarch-automate,workflows,bmm/workflows/testarch/automate/workflow.yaml,Expand test automation coverage after implementation or analyze existing codebase to generate comprehensive test suite
testarch-ci,workflows,bmm/workflows/testarch/ci/workflow.yaml,Scaffold CI/CD quality pipeline with test execution  burn-in loops  and artifact collection
testarch-framework,workflows,bmm/workflows/testarch/framework/workflow.yaml,Initialize production-ready test framework architecture (Playwright or Cypress) with fixtures  helpers  and configuration
testarch-nfr,workflows,bmm/workflows/testarch/nfr-assess/workflow.yaml,Assess non-functional requirements (performance  security  reliability  maintainability) before release with evidence-based validation
testarch-test-design,workflows,bmm/workflows/testarch/test-design/workflow.yaml,Dual-mode workflow: (1) System-level testability review in Solutioning phase  or (2) Epic-level test planning in Implementation phase. Auto-detects mode based on project phase.
testarch-test-review,workflows,bmm/workflows/testarch/test-review/workflow.yaml,Review test quality using comprehensive knowledge base and best practices validation
testarch-trace,workflows,bmm/workflows/testarch/trace/workflow.yaml,Generate requirements-to-tests traceability matrix  analyze coverage  and make quality gate decision (PASS/CONCERNS/FAIL/WAIVED)
workflow-init,workflows,bmm/workflows/workflow-status/init/workflow.yaml,Initialize a new BMM project by determining level  type  and creating workflow path
workflow-status,workflows,bmm/workflows/workflow-status/workflow.yaml,Lightweight status checker - answers "what should I do now?" for any agent. Reads YAML status file for workflow tracking. Use workflow-init for new projects.
design-thinking,workflows,cis/workflows/design-thinking/workflow.yaml,Guide human-centered design processes using empathy-driven methodologies. This workflow walks through the design thinking phases - Empathize  Define  Ideate  Prototype  and Test - to create solutions deeply rooted in user needs.
innovation-strategy,workflows,cis/workflows/innovation-strategy/workflow.yaml,Identify disruption opportunities and architect business model innovation. This workflow guides strategic analysis of markets  competitive dynamics  and business model innovation to uncover sustainable competitive advantages and breakthrough opportunities.
problem-solving,workflows,cis/workflows/problem-solving/workflow.yaml,Apply systematic problem-solving methodologies to crack complex challenges. This workflow guides through problem diagnosis  root cause analysis  creative solution generation  evaluation  and implementation planning using proven frameworks.
storytelling,workflows,cis/workflows/storytelling/workflow.yaml,Craft compelling narratives using proven story frameworks and techniques. This workflow guides users through structured narrative development  applying appropriate story frameworks to create emotionally resonant and engaging stories for any purpose.
brainstorming-session,core,core/workflows/brainstorming/workflow.md,Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods
party-mode,core,core/workflows/party-mode/workflow.md,Orchestrates group discussions between all installed Aegis agents  enabling natural multi-agent conversations
